,DATE,COMPANYNAME,AMOUNT,ROUND,INVESTORS,COUNTRY,COUNTRY(HQ),CATEGORY,SECTOR
1124,2019-06-17,Farmerline,0,Grant,African Development Bank,Ghana,Ghana,"Agtech, Data Analytics",Agriculture
1125,2019-06-18,Savannah Brands,0,Seed,Chandaria Capital,Kenya,Kenya,Food and Beverages,E-Commerce & Retail
1126,2019-06-18,Kwangu Kwako,20000,Grant,MIT D-Lab Scale-Ups fellowship,Kenya,Kenya,"Construction, Housing Solutions",Real Estate
1127,2019-06-18,Solar Freeze,20000,Grant,MIT D-Lab Scale-Ups fellowship,Kenya,Kenya,"Clean Energy, Solar",Energy & Environment Resources
1128,2019-06-18,EcoAct Tanzania,20000,Grant,MIT D-Lab Scale-Ups fellowship,Tanzania,Tanzania,"Recycling, Waste management",Energy & Environment Resources
1129,2019-06-18,Expressions Global Group,20000,Grant,MIT D-Lab Scale-Ups fellowship,Kenya,Kenya,"Water access, Environment",Resource& Energy
1130,2019-06-18,Clinicpesa,20000,Grant,MIT D-Lab Scale-Ups fellowship,Uganda,Uganda,"Healthcare, MicroSavings, Financial Services",Financial Services
1131,2019-06-18,FixChap,20000,Grant,MIT D-Lab Scale-Ups fellowship,Tanzania,Tanzania,Repair needs,Information Technology
1132,2019-06-19,Eksab,0,Seed,500 Startups,Egypt,Egypt,Fantasy Sports,Media/ Entertainment
1133,2019-06-20,Swvl,42000000,Series C,"Vostok New Ventures, BECO Capital, Endeavor Catalyst, OTF Jasoor Venture, Sawari Ventures, DASH Ventures",Egypt,Egypt,"Internet, Mobile Apps, Transportation, Travel, Ride hailing",Transport & Logistics
1134,2019-06-20,Sweepsouth,2100000,Series B,Naspers Foundry,South Africa,South Africa,"Home Improvement, Home Services, Internet",Commercial & Professional Services
1135,2019-06-20,MDaas Global,1060000,Seed,"Consonance Investment Managers, Techstars, Finca Ventures, Greetree Investment Company",Nigeria,Nigeria,"Medical Equipment, Medical Equipment Maintenance & Repair, Training, Medical Equipment Financing, Economic Development, Shipping and Logistics, Biomedical Training, Medical Diagnostics, and Primary Care",Healthcare & Pharma
1136,2019-06-20,PayNas,50000,Grant,Seamless North Africa,Egypt,Egypt,E-Commerce,Financial Services
1137,2019-06-20,Taimba Limited,100000,Seed,Gray Matters Capital,Kenya,Kenya,Agribusiness,Agriculture
1138,2019-06-21,Turaco,0,Seed,Catalyst Fund,Kenya,Kenya,"Health, Information Technology, FinTech",Financial Services
1139,2019-06-21,Enoch Diary,0,Seed,Undisclosed,Nigeria,Nigeria,Information Technology,Information Technology
1140,2019-06-21,WidEnergy Africa Ltd,0,Seed,GreenTec Capital Partners,Zambia,Zambia,Energy and Resources,"Solar Energy, Energy and Resources"
1141,2019-06-24,Ozow,0,Series A,Kalon Venture Partners,South Africa,South Africa,Instant EFT Payments,Financial Services
1142,2019-06-24,Arnergy,9000000,Series A,"Breakthrough Energy Ventures, All On Energy, ElectriFI, NorFund",Nigeria,Nigeria,"Energy and Resources, Solar",Energy & Environment Resources
1143,2019-06-24,ScholarX,100000,Pre-Seed,Undisclosed,Nigeria,Nigeria,"Education, Mobile Apps, Universities",Education
1144,2019-06-25,Elmenus,0,Series B,Julian Dames,Egypt,Egypt,"Ediscovery, Hospitality, Mobile, Restaurants, Food and Beverages",E-Commerce & Retail
1145,2019-06-25,Breadfast,0,Series A,"500 Startups, Mohamed El Sewedy",Egypt,Egypt,Food and Beverages,E-Commerce & Retail
1146,2019-06-25,afriQloud,0,Seed,Imprimatur Capital,Uganda,Uganda,"Cloud services, Information Technology",Information Technology
1147,2019-06-25,Breadfast,150000,Seed,Y Combinator,Egypt,Egypt,Food and Beverages,E-Commerce & Retail
1148,2019-06-25,Solar Freeze,75000,Grant,Cisco Global Problem Solver Challenge,Kenya,Kenya,"Clean Energy, Solar",Energy & Environment Resources
1149,2019-06-25,Ogaranya,8300,Grant,"Labs By ARM, Ventures Platform Foundation",Nigeria,Nigeria,Commerce,E-Commerce & Retail
1150,2019-06-25,FINT,8300,Grant,"Labs By ARM, Ventures Platform Foundation",Nigeria,Nigeria,"FinTech, Loans, P2P Lending",Financial services
1151,2019-06-25,Payday Investor,8300,Grant,"Labs By ARM, Ventures Platform Foundation",Nigeria,Nigeria,"Investments, Savings",Financial services
1152,2019-06-25,Tsaron Technologies,8300,Grant,"Labs By ARM, Ventures Platform Foundation",Nigeria,Nigeria,Insur-Tech,Financial Services
1153,2019-06-25,Trove Finance,8300,Grant,"Labs By ARM, Ventures Platform Foundation",Nigeria,Nigeria,"Cryptocurrency, Bitcoin, Bond trading",Financial Services
1154,2019-06-25,Asusu Technology Limited,8300,Grant,"Labs By ARM, Ventures Platform Foundation",Nigeria,Nigeria,"Fintech, micro-loans, credit services",Financial Services
1155,2019-06-26,Vidr,0,Seed,Made Agency,South Africa,South Africa,"Insta Video, Film making, video Production",Media and Entertainment
1156,2019-06-26,Lulalend,6500000,Series A,"International Finance Corporation, Quona Capital",South Africa,South Africa,"Customer Service, Financial Services, FinTech",Financial Services
1157,2019-06-27,Raintree Farms,1055000,Private Equity,Pearl Capital Partners,Uganda,Uganda,Agriculture,Agriculture
1158,2019-06-27,Turaco,60000,Grant,Catalyst Fund,Kenya,Kenya,"Health, Information Technology, FinTech",Financial Services
1159,2019-06-28,DrugStoc,0,Seed,Growth Capital,Nigeria,Nigeria,"Health, Pharmaceuticals",Healthcare & Pharma
1161,2019-06-29,WideBot,0,Seed,Business Valley,Egypt,Egypt,"Artificial Intelligence, Big Data, Machine Learning, Natural Language Processing",Information Technology
1162,2019-07-02,Fundrr,0,Seed,Undisclosed,South Africa,South Africa,"Financial Services, Credit Services",Financial Services
1163,2019-07-02,54gene,4500000,Seed,"Better Ventures,  Fifty Years Fund, Hack VC, Techammer, KdT Ventures, Y Combinator",Nigeria,Nigeria,HealthCare,Healthcare & Pharma
1164,2019-07-08,Cradle Technology Services,0,Series A,"Knife Capital,",South Africa,South Africa,"Logistics, Warehouse solutions",Information Technology
1165,2019-07-08,Rent To Own Africa,1120000,Private Equity,Triple Jump BV,Zambia,Zambia,"Asset Financing, Pay As You Go Solar, Farm Machinery",Agriculture
1166,2019-07-08,CowTribe,120000,Seed,TechStars,Ghana,Ghana,"Veterinary, Animal Health",Agriculture
1167,2019-07-08,WellaHealth,120000,Seed,TechStars,Nigeria,Nigeria,"Health, Pharmaceuticas, Artificial Intelligence",Information Technology
1168,2019-07-09,The Rosehip Company,0,Private Equity,One Thousand And One Voices,Lesotho,Lesotho,Agribusiness,Agriculture
1169,2019-07-09,Powerhive,9300000,Series B,"Toyota Tsusho Corporation, Kouros, To:org, Tao Capital, James Sandler, Prelude Ventures, Caterpillar Ventures, Total Energy Ventures",Kenya,Kenya,"Cloud Computing, Energy, SaaS, Software, Solar",Energy & Environment Resources
1170,2019-07-10,OPay,50000000,Series A,"GSR Ventures, IDG Capital, Meituan Dianping, Opera, Source Code Capital, Sequoia Capital China",Nigeria,Nigeria,"E-Payment, Mobile Money Services",Financial Services
1171,2019-07-11,HotelOnline,320000,Seed,"Trond Riiber Knudsen Group, Shravan Shroff",Kenya,Kenya,Travel Bookings,Travel and Leisure
1173,2019-07-13,Ethnic Brand,500000,Seed,MAGIC Global Accelerator Programme,Kenya,Kenya,Manufacturing,Commercial & Professional Services
1174,2019-07-15,Space in Africa,0,Seed,AC Ventures,Nigeria,Nigeria,0,Information Technology
1175,2019-07-15,COLNN,100000,Seed,Edventures,Egypt,Egypt,E-learning,Education
1176,2019-07-16,Cryptyd Games,0,Seed,"Alexandria Angels, Cairo Angels",United States of America,United States of America,Mobile games,Media & Entertainment
1177,2019-07-17,Crop Nutrition Laboratory Services (Cropnuts),0,Private Equity,"AHL Venture Partners, DOB Equity",Kenya,Kenya,"Soil testing, Agronomy Services, Crop Trials, Water testing, Environmental services, Laboratory Services",Agriculture
1178,2019-07-17,Africado,0,Private Equity,AgDevCo,Tanzania,Tanzania,Agribusiness,Agriculture
1179,2019-07-17,Enko Education,1400000,Pre-Series B,Undisclosed,South Africa,South Africa,0,Education
1180,2019-07-23,Kijani Limited,60000,Seed,RENEW,Uganda,Uganda,Baby diapers,E-Commerce & Retail
1181,2019-07-25,Optimetriks,330000,Debt Financing,Undisclosed,Kenya,Kenya,"Analytics, Emerging Markets, Enterprise Software, Retail Technology, Sales Automation",Transport & Logistics
1182,2019-07-30,Mobii Systems,0,Private Equity,Blue Label Ventures,South Africa,South Africa,Sports Tech,Information Technology
1183,2019-07-30,Healthcent,562000,Debt Financing,"Allan Gray, Umkathi Wethu Ventures",South Africa,South Africa,HealthTech,Information Technology
1184,2019-07-31,Solarise Africa,0,Series A,"Electrification Financing Initiative, Energy Access Ventures",Kenya,Kenya,Credit Solutions,Financial Services
1185,2019-08-02,GONA,0,Pre-Series A,"Crystal Stream Capital, UnityVC, Shaka VC",Nigeria,Nigeria,"Payments, FinTech",Financial Services
1186,2019-08-04,MoneyFellows,1000000,Pre-Series A,"500 Startups, Dubai Angel Investors",Egypt,Egypt,"Credit, Financial Services, Software",Financial Services
1187,2019-08-06,Kakbima,25000,Seed,Baobab Network,Kenya,Kenya,"Fintech, Insurtech",Financial Services
1188,2019-08-06,BeBlocky,25000,Seed,Baobab Network,Ethiopia,Ethiopia,EdTech,Education
1189,2019-08-06,Dr Cadx,25000,Seed,Baobab Network,Zimbabwe,Zimbabwe,"Health, Wellness and Fitness, Diagnostics",Healthcare & Pharma
1190,2019-08-06,GladePay,25000,Seed,Baobab Network,Nigeria,Nigeria,"Payments, FinTech",Financial Services
1191,2019-08-06,Pennysmart,25000,Seed,Baobab Network,Ghana,Ghana,"Savings, FinTech",Financial Services
1192,2019-08-07,IlaraHealth,735000,Seed,"Chandaria Capital, Villgro Kenya, ShakaVC, Esther Dyson, Nijhad Jamal, Aadil Mamujee, Selma Ribica , Shakir Merali",Kenya,Kenya,Diagnostics,Healthcare & Pharma
1193,2019-07-23,biNu,3000000,Private Equity,Jonathan Ruffer,Australia,Australia,Mobile Internet,Information Technology
1194,2019-08-08,Kalido,2000000,Corporate Round,HCL Technologies,South Africa,South Africa,HR Tech,Commercial & Professional Services
1195,2019-08-08,TechAdvance,1000000,Corporate Round,Lamar Holding,Nigeria,Nigeria,"Payments, FinTech",Financial Services
1196,2019-05-03,WeMove Technologies,30000,Angel,Undisclosed,Nigeria,Nigeria,Car Hire,Transport & Logistics
1197,2019-08-08,BeepTool,0,Angel,Ndubuisi Ekekwe,Nigeria,Nigeria,"VoIP Services, Fintech",Utilities and Telcommunication Services
1198,2019-07-12,Mobu,1300000,Seed,Pecunio,South Africa,South Africa,"Financial services, FinTech, Blockchain",Financial Services
1199,2019-08-12,Raino Tech4Impact,100000,Seed,"Samurai Incubate Africa, Growth Africa",Kenya,Kenya,Agriculture,Information Technology
1200,2019-08-13,Chefaa,0,Seed,"Flat6Labs, 500 Startups",Egypt,Egypt,"Artificial Intelligence, E-Commerce, Health Care, Information Technology, Mobile Apps, Pharmaceutical",Healthcare & Pharma
1201,2019-08-14,Kobo360,20000000,Series A,"Asia Africa Investment Consulting, Goldman Sachs, International Finance Corporation, TLcom Capital, Y Combinator",Nigeria,Nigeria,"SMEs export/import solution, E-commerce Supply Chain, Mail/Parcel, Office/Home Moving, Haulage, Air Freight, Project Cargo, Sea Freight, Agribusiness",Transport & Logistics
1203,2019-08-14,Kobo360,10000000,Debt Financing,Undisclosed,Nigeria,Nigeria,"SMEs export/import solution, E-commerce Supply Chain, Mail/Parcel, Office/Home Moving, Haulage, Air Freight, Project Cargo, Sea Freight, Agribusiness",Transport & Logistics
1204,2019-08-15,Ukheshe,500000,Seed,"FiTech Ventures, Ocean on 76 Group",South Africa,South Africa,Payments,Financial Services
1205,2019-08-08,Jonga,0,Seed,Savant Venture Fund,South Africa,South Africa,"Information Technology, Security",Information Technology
1206,2016-06-06,Jonga,25000,Grant,Technology Innovation Agency,South Africa,South Africa,"Information Technology, Security",Information Technology
1207,2019-05-03,Jonga,60000,Angel,"Dale Williams, Melvyn Lubega, Mark Forreste",South Africa,South Africa,"Information Technology, Security",Information Technology
1208,2018-08-09,Jonga,10000,Grant,SAB Foundation,South Africa,South Africa,"Information Technology, Security",Information Technology
1209,2017-08-14,Jonga,10000,Grant,Santam,South Africa,South Africa,"Information Technology, Security",Information Technology
1210,2016-06-06,Jonga,2000,Grant,SeedStars World,South Africa,South Africa,"Information Technology, Security",Information Technology
1211,2017-10-15,Helium Health,2000000,Seed,"Tencent Holdings, Y Combinator, The Chrysalis Capital, Western Technology Investment (WTI), Vy Capital, Venturesouq",Nigeria,Nigeria,"E-Health, Healthcare Technology",Healthcare & Pharma
1213,2007-01-15,NMPi,3700000,Series A,Knife Capital,South Africa,South Africa,0,Information Technology
1214,2019-08-19,Mr Green Africa,0,Private Equity,"DBO Equity, Global Innovation Fund",Kenya,Kenya,Waste Management & Recycling,Energy & Environment Resources
1215,2019-08-16,Vistafront,0,Corporate Round,Landwey,Nigeria,Nigeria,"Real Estate, Crowdfunding",Financial Services
1216,2019-08-20,Spoon Money,65000,Grant,AlphaCode,South Africa,South Africa,Financial Services,Financial Services
1217,2019-08-20,IsiDuli,65000,Grant,AlphaCode,South Africa,South Africa,0,0
1218,2019-08-20,Oyi Medical Card,65000,Grant,AlphaCode,South Africa,South Africa,"Payments, Healthcare",Financial Services
1219,2019-08-20,Budgie,65000,Grant,AlphaCode,South Africa,South Africa,Financial Management,Financial Services
1220,2019-08-20,Olova,65000,Grant,AlphaCode,South Africa,South Africa,Payments,Financial Services
1221,2019-08-20,GetVanced,65000,Grant,AlphaCode,South Africa,South Africa,0,0
1222,2019-08-20,Mari,65000,Grant,AlphaCode,South Africa,South Africa,0,0
1223,2019-08-20,okGo.live,65000,Grant,AlphaCode,South Africa,South Africa,0,0
1224,2019-08-21,Nadia,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Kenya,Kenya,mHealth,Healthcare & Pharma
1225,2019-08-21,BezoMoney,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Ghana,Ghana,Savings,Financial Services
1226,2019-08-21,Zuri,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Nigeria,Nigeria,Beauty,Commercial & Professional Services
1227,2019-08-21,Massira,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Ghana,Ghana,Women's Health,Healthcare & Pharma
1228,2019-08-21,CoFundie,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Ghana,Ghana,"Real Estate, Crowdfunding",Financial Services
1229,2019-08-21,Niqao,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Ghana,Ghana,Payments,Financial Services
1230,2019-08-21,Saada,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Kenya,Kenya,"Ticketing, Mobile Money",Information Technology
1231,2019-08-21,Kweza,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),South Africa,South Africa,"Logistics & Distribution, Software",Transport & Logistics
1232,2019-08-21,CoVibes,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Nigeria,Nigeria,"Media, E-Booking",Information Technology
1233,2019-08-21,Adi+Bolga,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Ghana,Ghana,Beauty & Cosmetics,Information Technology
1234,2019-08-21,Farmula,100000,Pre-Seed,Meltwater Entrepreneurial School of Technology (MEST),Kenya,Kenya,"Logistics & Distribution, Software",Information Technology
1235,2019-08-27,Nomanini,4000000,Series D,"Standard Bank, Goodwell Investments",South Africa,South Africa,"Mobile, Payments, Telecommunications",Financial Services
1236,2019-08-26,FundingHub,0,Corporate Round,Fincheck,South Africa,South Africa,"Loans, Asset Financing",Financial Services
1237,2019-08-27,Trolley,200000,Angel Round,Undisclosed,Egypt,Egypt,0,E-Commerce & Retail
1238,2018-08-14,Naasakle,0,Debt Financing,Palladium Group,United States,United States,Agribusiness,Agriculture
1239,2019-08-28,Bboxx,50000000,Series D,"Mitsubishi, Bamboo Capital Partners, Doen Participaties, MacKinnon Bennett, ENGIE",United Kingdom,United Kingdom,"Electrical Distribution, Energy, Energy Management, Manufacturing, Product Design, Renewable Energy, Solar",Energy & Environment Resources
1240,2013-11-13,Bboxx,1900000,Series A,"Khosla Impact, Synergy Growth",United Kingdom,United Kingdom,"Electrical Distribution, Energy, Energy Management, Manufacturing, Product Design, Renewable Energy, Solar",Energy & Environment Resources
1241,2015-03-12,Bboxx,3000000,Series B,"Bamboo Finance, DOEN Foundation, MacKinnon Bennet & Co.",United Kingdom,United Kingdom,"Electrical Distribution, Energy, Energy Management, Manufacturing, Product Design, Renewable Energy, Solar",Energy & Environment Resources
1242,2016-08-30,Bboxx,20000000,Series C,"Bamboo Finance, DOEN Foundation, ENGIE, KawiSafi Ventures, Khosla Impact, MacKinnon, Bennett & Co.",United Kingdom,United Kingdom,"Electrical Distribution, Energy, Energy Management, Manufacturing, Product Design, Renewable Energy, Solar",Energy & Environment Resources
1243,2019-08-29,Hospitalia,30000,Grant,Changelabs,Egypt,Egypt,0,Healthcare & Pharma
1244,2019-08-29,Proteinea,90000,Grant,Changelabs,Egypt,Egypt,Biotechnology,Agriculture
1245,2019-01-15,NowPay,600000,Seed,"Endure Capital, 500 Startups",United States,United States,0,Financial Services
